Transaction ID,Account Number,Sort Code,Bank,Check Digits,SWIFT code,Country Code,,, Transaction ID ,IBAN,,,,,,,
2570,92497278,207663,Barclays Bank,22,BARC,GB,,," 2,570 ",GB22BARC20766392497278,,,,,,,
4063,20220923,281786,Data Source Bank,12,DSBX,GB,,," 4,063 ",GB12DSBX28178620220923,,,,,,,
1730,76275760,495364,Barclays Bank,22,BARC,GB,,," 1,730 ",GB22BARC49536476275760,,,,,,,
6155,90692776,248152,HSBC,4B,HBUK,GB,,," 6,155 ",GB4BHBUK24815290692776,,,,,,,
3600,21348995,335308,Halifax,22,HLFX,GB,,," 3,600 ",GB22HLFX33530821348995,,,,,,,
8453,30335066,649458,Lloyds Bank,C1,LOYD,GB,,," 8,453 ",GBC1LOYD64945830335066,,,,,,,
1716,52310258,683636,Santander,3E,ABBY,GB,,," 1,716 ",GB3EABBY68363652310258,,,,,,,
8864,91658439,436220,Santander,3E,ABBY,GB,,," 8,864 ",GB3EABBY43622091658439,,,,,,,
9760,25504883,905355,HSBC,4B,HBUK,GB,,," 9,760 ",GB4BHBUK90535525504883,,,,,,,
2354,43602961,238818,Barclays Bank,22,BARC,GB,,," 2,354 ",GB22BARC23881843602961,,,,,,,
7081,25862478,998360,HSBC,4B,HBUK,GB,,," 7,081 ",GB4BHBUK99836025862478,,,,,,,
5955,71124764,978496,Lloyds Bank,C1,LOYD,GB,,," 5,955 ",GBC1LOYD97849671124764,,,,,,,
8500,46967961,874938,Lloyds Bank,C1,LOYD,GB,,," 8,500 ",GBC1LOYD87493846967961,,,,,,,
6054,47199472,968854,Lloyds Bank,C1,LOYD,GB,,," 6,054 ",GBC1LOYD96885447199472,,,,,,,
1614,38668066,691125,Halifax,22,HLFX,GB,,," 1,614 ",GB22HLFX69112538668066,,,,,,,
1215,25328896,864476,Barclays Bank,22,BARC,GB,,," 1,215 ",GB22BARC86447625328896,,,,,,,
4653,26844967,982908,Halifax,22,HLFX,GB,,," 4,653 ",GB22HLFX98290826844967,,,,,,,
5773,82021377,438613,Lloyds Bank,C1,LOYD,GB,,," 5,773 ",GBC1LOYD43861382021377,,,,,,,
1281,95862106,422527,Natwest,2L,NWBK,GB,,," 1,281 ",GB2LNWBK42252795862106,,,,,,,
3770,26013637,325490,Data Source Bank,12,DSBX,GB,,," 3,770 ",GB12DSBX32549026013637,,,,,,,
8808,41599267,970385,HSBC,4B,HBUK,GB,,," 8,808 ",GB4BHBUK97038541599267,,,,,,,
7665,86932953,977747,Barclays Bank,22,BARC,GB,,," 7,665 ",GB22BARC97774786932953,,,,,,,
5834,35061906,737890,Natwest,2L,NWBK,GB,,," 5,834 ",GB2LNWBK73789035061906,,,,,,,
6999,46226858,796475,Natwest,2L,NWBK,GB,,," 6,999 ",GB2LNWBK79647546226858,,,,,,,
3598,53420865,932630,Natwest,2L,NWBK,GB,,," 3,598 ",GB2LNWBK93263053420865,,,,,,,
2760,85744933,280660,Data Source Bank,12,DSBX,GB,,," 2,760 ",GB12DSBX28066085744933,,,,,,,
9224,32950330,583461,HSBC,4B,HBUK,GB,,," 9,224 ",GB4BHBUK58346132950330,,,,,,,
1062,50400945,751894,Barclays Bank,22,BARC,GB,,," 1,062 ",GB22BARC75189450400945,,,,,,,
2953,80259094,161574,Barclays Bank,22,BARC,GB,,," 2,953 ",GB22BARC16157480259094,,,,,,,
9530,74379515,707005,Data Source Bank,12,DSBX,GB,,," 9,530 ",GB12DSBX70700574379515,,,,,,,
8629,83955552,653580,Natwest,2L,NWBK,GB,,," 8,629 ",GB2LNWBK65358083955552,,,,,,,
7268,96412639,887524,Natwest,2L,NWBK,GB,,," 7,268 ",GB2LNWBK88752496412639,,,,,,,
2340,82753835,957419,HSBC,4B,HBUK,GB,,," 2,340 ",GB4BHBUK95741982753835,,,,,,,
7485,63007765,634617,Lloyds Bank,C1,LOYD,GB,,," 7,485 ",GBC1LOYD63461763007765,,,,,,,
9096,32710603,742595,HSBC,4B,HBUK,GB,,," 9,096 ",GB4BHBUK74259532710603,,,,,,,
2797,47474979,366321,Halifax,22,HLFX,GB,,," 2,797 ",GB22HLFX36632147474979,,,,,,,
9195,96432979,293699,Barclays Bank,22,BARC,GB,,," 9,195 ",GB22BARC29369996432979,,,,,,,
2868,53579089,818996,HSBC,4B,HBUK,GB,,," 2,868 ",GB4BHBUK81899653579089,,,,,,,
3270,42126094,167107,Natwest,2L,NWBK,GB,,," 3,270 ",GB2LNWBK16710742126094,,,,,,,
8813,83475180,635891,Lloyds Bank,C1,LOYD,GB,,," 8,813 ",GBC1LOYD63589183475180,,,,,,,
7983,58775796,671897,Natwest,2L,NWBK,GB,,," 7,983 ",GB2LNWBK67189758775796,,,,,,,
9373,44568613,241512,HSBC,4B,HBUK,GB,,," 9,373 ",GB4BHBUK24151244568613,,,,,,,
2021,72261023,591751,Lloyds Bank,C1,LOYD,GB,,," 2,021 ",GBC1LOYD59175172261023,,,,,,,
6764,10570182,297239,Data Source Bank,12,DSBX,GB,,," 6,764 ",GB12DSBX29723910570182,,,,,,,
3286,47326725,218530,Halifax,22,HLFX,GB,,," 3,286 ",GB22HLFX21853047326725,,,,,,,
7423,75616805,493126,Halifax,22,HLFX,GB,,," 7,423 ",GB22HLFX49312675616805,,,,,,,
,,,,,,,,,,,,,,,,,
