Account Number,Account Type,Balance Date,Balance,Account  Holder ID
11846043,Basic,1/31/2023,915.59,21844263
11882775,Basic,1/31/2023,299.41,50701874
11910409,Gold,1/31/2023,241.22,99328958
11928523,Platinum,1/31/2023,818.51,58725872
12035637,Gold,1/31/2023,461.35,14770865
12042151,Gold,1/31/2023,336.44,57866188
12088180,Platinum,1/31/2023,656.51,55917521
12099406,Basic,1/31/2023,681.11,69196652
12111805,Gold,1/31/2023,890.99,72036799
12172627,Gold,1/31/2023,550.41,77761706
12185627,Gold,1/31/2023,873.23,87924327
12198380,Gold,1/31/2023,445.46,40448365
12199229,Gold,1/31/2023,804,12778869
12233762,Gold,1/31/2023,386.05,31154466
12240007,Basic,1/31/2023,894.48,18123960
12241820,Gold,1/31/2023,207.29,89677048
12388837,Basic,1/31/2023,463.31,29311835
12420291,Gold,1/31/2023,578.47,55080160
12423613,Platinum,1/31/2023,459.18,94079298
12440230,Basic,1/31/2023,842.67,80247207
12493067,Gold,1/31/2023,404.61,24389535
12494185,Basic,1/31/2023,762.16,46926433
12499656,Basic,1/31/2023,96.27,52688385
12560453,Gold,1/31/2023,85.03,9588159
12583269,Gold,1/31/2023,910.46,73945544
12666385,Basic,1/31/2023,554.24,40074244
12680102,Basic,1/31/2023,674.64,77963684
12725274,Platinum,1/31/2023,26.19,62851985
12859818,Gold,1/31/2023,151.06,14414569
12899540,Basic,1/31/2023,957.2,81057095
12964138,Gold,1/31/2023,557.04,70313182
12985543,Gold,1/31/2023,402.94,72127033
13058003,Gold,1/31/2023,218,10055517
13076932,Gold,1/31/2023,419.47,54930747
13117442,Platinum,1/31/2023,799.69,36541939
13167285,Basic,1/31/2023,301.93,60301493
13176075,Basic,1/31/2023,67.3,45643293
13182613,Basic,1/31/2023,384.42,91088955
13197335,Basic,1/31/2023,625.71,37884856
13267945,Gold,1/31/2023,299.77,80341564
13274987,Gold,1/31/2023,902.06,97228348
13277127,Basic,1/31/2023,793.22,252258
13322659,Basic,1/31/2023,690.27,78180012
13388069,Gold,1/31/2023,13.45,33265379
13426667,Joint,1/31/2023,70.47,25339222
13426667,Joint,1/31/2023,70.47,48002566
13459523,Gold,1/31/2023,814.31,18367895
13474543,Gold,1/31/2023,438.36,97816898
13537427,Platinum,1/31/2023,556.98,66594179
13551717,Basic,1/31/2023,26.95,68639654
13558846,Basic,1/31/2023,598.45,56706218
13563384,Basic,1/31/2023,952.65,66232182
13584908,Gold,1/31/2023,162,40151059
13610259,Basic,1/31/2023,587.73,91062539
13687711,Basic,1/31/2023,757.76,12983938
13713704,Basic,1/31/2023,1.48,33397715
13788234,Gold,1/31/2023,302.78,31320556
13945841,Platinum,1/31/2023,339.81,90009202
13965360,Basic,1/31/2023,299.46,65473538
13997603,Gold,1/31/2023,516.79,12309406
14000447,Basic,1/31/2023,443.94,15735076
14014401,Basic,1/31/2023,554.46,11669981
14039438,Gold,1/31/2023,94.52,2045273
14045416,Basic,1/31/2023,265.63,160391
14052052,Gold,1/31/2023,915.74,80756775
14086187,Basic,1/31/2023,340.59,18549902
14103210,Platinum,1/31/2023,369.01,20184804
14136082,Gold,1/31/2023,219.84,96276634
14144267,Gold,1/31/2023,97.69,14623387
14183437,Platinum,1/31/2023,779.47,96281254
14253152,Basic,1/31/2023,43.85,94107890
14337606,Basic,1/31/2023,561.8,85170206
14355869,Gold,1/31/2023,329.16,21944580
14397662,Platinum,1/31/2023,363.51,25698946
14421453,Basic,1/31/2023,813.76,52674558
14448009,Joint,1/31/2023,958.46,86296209
14448009,Joint,1/31/2023,958.46,38678655
14505806,Platinum,1/31/2023,689.25,59951154
14564252,Platinum,1/31/2023,263.39,89548974
14592080,Gold,1/31/2023,245.22,4739932
14594928,Gold,1/31/2023,470.64,15958621
14600288,Basic,1/31/2023,622.77,94917146
14648004,Gold,1/31/2023,236.67,51124513
14685853,Basic,1/31/2023,45.2,69185805
14723713,Basic,1/31/2023,378.07,61710949
14749214,Basic,1/31/2023,194.54,42280229
14780986,Basic,1/31/2023,180.2,40179334
14812157,Platinum,1/31/2023,534.54,85113789
14840078,Platinum,1/31/2023,584.16,32708554
14866733,Basic,1/31/2023,249.35,28750732
14897645,Gold,1/31/2023,89,85750305
14907946,Joint,1/31/2023,845.72,45905894
14907946,Joint,1/31/2023,845.72,80406841
15033812,Basic,1/31/2023,504.58,22281900
15044055,Gold,1/31/2023,204.3,33356634
15052808,Gold,1/31/2023,786.05,48910576
15055504,Gold,1/31/2023,339.94,36523916
15077298,Gold,1/31/2023,507.62,30564016
15100785,Basic,1/31/2023,934.1,146167
15163829,Gold,1/31/2023,458.6,96754404
15258886,Basic,1/31/2023,689.34,40177366
15265650,Basic,1/31/2023,147.72,19348996
15265700,Basic,1/31/2023,829.86,69047983
15290238,Basic,1/31/2023,93.23,34228992
15296624,Platinum,1/31/2023,731.68,27805873
15324178,Basic,1/31/2023,833.62,83902373
15334737,Platinum,1/31/2023,197.12,33280837
15377274,Platinum,1/31/2023,902.14,84314103
15428008,Gold,1/31/2023,131.02,78909455
15468532,Basic,1/31/2023,819.87,44547383
15522788,Platinum,1/31/2023,154.26,71900725
15529292,Gold,1/31/2023,382.95,61734191
15563919,Basic,1/31/2023,492.34,830904
15665459,Gold,1/31/2023,68.94,33989853
15668160,Gold,1/31/2023,810.02,37827314
15732629,Basic,1/31/2023,975.81,25018182
15768459,Platinum,1/31/2023,997.4,56703000
15779976,Gold,1/31/2023,129.01,50095911
15793232,Gold,1/31/2023,45.88,66943569
15796180,Basic,1/31/2023,755.58,35097549
15801209,Gold,1/31/2023,8.84,4963150
15805500,Basic,1/31/2023,230.39,9043136
15810455,Basic,1/31/2023,81.69,66973127
15826579,Platinum,1/31/2023,596.77,58968555
15830962,Platinum,1/31/2023,570.89,31464819
15841031,Basic,1/31/2023,579.98,97144212
15899774,Gold,1/31/2023,773.38,98012482
15914466,Gold,1/31/2023,436.62,48411853
15918861,Basic,1/31/2023,781.97,35642702
15922706,Platinum,1/31/2023,478.87,8204210
15944303,Basic,1/31/2023,977.44,45565396
15960008,Basic,1/31/2023,455.42,39306718
15980710,Gold,1/31/2023,955.7,96635391
16013218,Gold,1/31/2023,322.63,90295281
16026987,Gold,1/31/2023,772.57,93153307
16030234,Gold,1/31/2023,174.55,8351005
16063411,Basic,1/31/2023,896.73,448094
16067516,Gold,1/31/2023,494.33,308061
16087504,Gold,1/31/2023,56.65,10175224
16093178,Basic,1/31/2023,96.62,17632827
16118153,Gold,1/31/2023,829.58,42146108
16124993,Joint,1/31/2023,148.14,85303887
16124993,Joint,1/31/2023,148.14,31213384
16152779,Platinum,1/31/2023,65.09,31349710
16157014,Gold,1/31/2023,858.73,91922723
16181964,Basic,1/31/2023,979.44,38727307
16191280,Basic,1/31/2023,825.86,92723255
16223952,Basic,1/31/2023,222.18,57436955
16229373,Platinum,1/31/2023,256.89,74644838
16270746,Basic,1/31/2023,904.31,15653352
16306280,Gold,1/31/2023,921.83,52493643
16312979,Basic,1/31/2023,833.92,89834399
16334793,Gold,1/31/2023,297.75,79475074
16453812,Gold,1/31/2023,356.9,15665885
16506904,Gold,1/31/2023,602.17,50796183
16584745,Gold,1/31/2023,129.46,49890659
16628269,Gold,1/31/2023,27.11,71465677
16633794,Platinum,1/31/2023,263.05,14049401
16676577,Gold,1/31/2023,407.24,28090300
16927652,Gold,1/31/2023,637.58,824904
16977372,Gold,1/31/2023,675.5,96354709
16984772,Basic,1/31/2023,823.43,4931864
17024652,Basic,1/31/2023,918.84,34625744
17039422,Basic,1/31/2023,941.44,38814096
17051223,Basic,1/31/2023,558.16,37352383
17085651,Gold,1/31/2023,945.51,90628588
17138963,Basic,1/31/2023,131.95,18184412
17144855,Gold,1/31/2023,355.14,9882076
17191420,Gold,1/31/2023,717.28,98994536
17228160,Platinum,1/31/2023,567.87,60110742
17264146,Basic,1/31/2023,345.33,62320378
17284705,Gold,1/31/2023,145.59,65542122
17301178,Gold,1/31/2023,311.47,11893969
17434670,Platinum,1/31/2023,148.92,28207845
17469776,Gold,1/31/2023,443.18,72023638
17483941,Basic,1/31/2023,483.81,62798106
17533114,Gold,1/31/2023,274.53,65079768
17534364,Basic,1/31/2023,758.41,73895660
17543122,Basic,1/31/2023,681.64,71348398
17644586,Gold,1/31/2023,222.45,37464885
17648252,Platinum,1/31/2023,75.02,50093568
17669623,Platinum,1/31/2023,163.19,64148547
17692892,Basic,1/31/2023,457.79,83543598
17722231,Gold,1/31/2023,944.22,60208017
17749893,Basic,1/31/2023,889.45,48939723
17810734,Gold,1/31/2023,348.22,22175311
17840180,Gold,1/31/2023,557.56,35117700
17868317,Platinum,1/31/2023,706.58,37435659
17881363,Basic,1/31/2023,415.27,76648517
17925406,Gold,1/31/2023,393.37,62305196
17933377,Basic,1/31/2023,189.05,34381258
17938672,Gold,1/31/2023,904.99,83273263
17939571,Basic,1/31/2023,396.93,82436181
17983851,Basic,1/31/2023,849.24,53508406
18046225,Gold,1/31/2023,205.83,64543512
18052851,Basic,1/31/2023,672.09,78690639
18095448,Gold,1/31/2023,73.28,83646896
18133554,Platinum,1/31/2023,733.1,38618119
18179400,Platinum,1/31/2023,768.78,45009929
18185362,Basic,1/31/2023,609.36,83289626
18198770,Platinum,1/31/2023,108.23,24232429
18305932,Platinum,1/31/2023,834.42,639684
18308848,Joint,1/31/2023,570.65,32038387
18308848,Joint,1/31/2023,570.65,51085461
18346988,Basic,1/31/2023,450.36,74402992
18348734,Basic,1/31/2023,579.93,41598271
18447548,Basic,1/31/2023,574.24,14924822
18451683,Basic,1/31/2023,501.75,14482369
18517970,Gold,1/31/2023,709.95,26736102
18563743,Gold,1/31/2023,649.46,86420305
18582171,Basic,1/31/2023,732.99,26984318
18584434,Basic,1/31/2023,877.81,39868326
18645136,Basic,1/31/2023,554.87,7496322
18685463,Joint,1/31/2023,476.02,2266447
18685463,Joint,1/31/2023,476.02,17434595
18718399,Basic,1/31/2023,716.22,66125742
18850031,Basic,1/31/2023,191.3,84735968
18859451,Gold,1/31/2023,441.04,72868890
18899132,Basic,1/31/2023,244.46,54034586
18928638,Gold,1/31/2023,150.95,87694387
19001745,Gold,1/31/2023,507.55,33679838
19094015,Basic,1/31/2023,548.65,39028764
19154395,Gold,1/31/2023,274.06,63913900
19160862,Basic,1/31/2023,211.53,55167474
19201987,Gold,1/31/2023,624.55,16529382
19216744,Basic,1/31/2023,123.53,77843924
19220216,Basic,1/31/2023,628.89,94444276
19242274,Joint,1/31/2023,65.28,22364200
19242274,Joint,1/31/2023,65.28,13078525
19283264,Gold,1/31/2023,301.31,13839239
19315124,Basic,1/31/2023,447.16,49848076
19317267,Basic,1/31/2023,51.87,66592876
19334563,Basic,1/31/2023,525.45,14578397
19387921,Gold,1/31/2023,927.28,13985922
19429964,Gold,1/31/2023,694.43,36401281
19432211,Platinum,1/31/2023,24.19,79571848
19524427,Gold,1/31/2023,579.16,29359859
19530097,Gold,1/31/2023,960.21,26424566
19559937,Platinum,1/31/2023,727.4,35708996
19574610,Gold,1/31/2023,104.29,5589996
19647966,Gold,1/31/2023,849.89,88425097
19686460,Basic,1/31/2023,416.7,59685025
19705767,Basic,1/31/2023,997.48,3695734
19789505,Basic,1/31/2023,893.9,51019591
19836996,Basic,1/31/2023,245.14,63508404
19876635,Basic,1/31/2023,883.25,64438522
19920990,Platinum,1/31/2023,70.95,82760062
19931073,Basic,1/31/2023,404.96,2429301
19956941,Gold,1/31/2023,723.33,55076179
19980716,Basic,1/31/2023,432.98,93589709
20015298,Gold,1/31/2023,953.82,73737908
20067958,Gold,1/31/2023,38.05,60902003
20090784,Gold,1/31/2023,482.62,9499290
20117480,Platinum,1/31/2023,70.97,73444255
20129535,Basic,1/31/2023,446.41,49725812
20176338,Platinum,1/31/2023,289.57,57102276
20242626,Basic,1/31/2023,701.08,412073
20248053,Gold,1/31/2023,565.28,54053442
20263437,Platinum,1/31/2023,789.09,79607647
20280759,Gold,1/31/2023,838.7,77303524
20287993,Gold,1/31/2023,616.17,4339778
20316429,Platinum,1/31/2023,697.84,72997556
20345467,Basic,1/31/2023,852.5,59089955
20369153,Basic,1/31/2023,293.78,73344176
20372310,Platinum,1/31/2023,366.41,29906580
20413037,Gold,1/31/2023,235.79,10377045
20425065,Basic,1/31/2023,866.77,91790770
20464830,Basic,1/31/2023,181.25,72461953
20632572,Gold,1/31/2023,286.44,12479414
20704613,Gold,1/31/2023,71.59,40752700
20705548,Basic,1/31/2023,184.81,56309981
20720894,Basic,1/31/2023,243.42,77266019
20838578,Gold,1/31/2023,620.7,19848139
20849721,Platinum,1/31/2023,740.52,10166755
20851460,Gold,1/31/2023,931.67,11481497
20878023,Gold,1/31/2023,648.19,61879657
20908067,Basic,1/31/2023,607.53,27902624
20991411,Basic,1/31/2023,572.64,29973784
20992354,Gold,1/31/2023,87.26,766692
21001872,Gold,1/31/2023,31.76,17586509
21032760,Gold,1/31/2023,541.33,8732352
21047777,Basic,1/31/2023,699.12,8181063
21142911,Gold,1/31/2023,714.89,5254436
21293955,Gold,1/31/2023,232.88,79880319
21314767,Platinum,1/31/2023,438.19,2297134
21368735,Basic,1/31/2023,281.87,5456971
21392412,Basic,1/31/2023,708.46,72387377
21464772,Basic,1/31/2023,719.8,18784070
21475060,Gold,1/31/2023,354.98,78502675
21515934,Basic,1/31/2023,543.38,285043
21550631,Gold,1/31/2023,84.96,94030831
21558805,Basic,1/31/2023,586.63,90798571
21601747,Gold,1/31/2023,410.62,95560882
21618665,Platinum,1/31/2023,291.59,76920476
21646418,Platinum,1/31/2023,909.55,668504
21655728,Basic,1/31/2023,761.31,13084288
21675999,Gold,1/31/2023,893.27,64590437
21694967,Basic,1/31/2023,90.13,16928386
21705004,Basic,1/31/2023,496.88,54333838
21711501,Basic,1/31/2023,126.63,35823678
21716351,Basic,1/31/2023,800.95,73309204
21719977,Gold,1/31/2023,758.81,90895447
21728352,Gold,1/31/2023,733.87,77555617
21749252,Gold,1/31/2023,646.27,12675951
21750371,Gold,1/31/2023,329.19,50327568
21816770,Basic,1/31/2023,693.8,77605478
21844169,Basic,1/31/2023,463.51,32323613
21844651,Gold,1/31/2023,525.16,964493
21881168,Basic,1/31/2023,950.62,33110473
21898016,Gold,1/31/2023,117.42,92336698
21918195,Basic,1/31/2023,510.33,39841041
21966927,Basic,1/31/2023,511.1,75412703
22027757,Basic,1/31/2023,438.85,19814571
22035411,Basic,1/31/2023,9.55,89141903
22054113,Basic,1/31/2023,364.66,29974316
22063978,Gold,1/31/2023,387.01,82158602
22099256,Basic,1/31/2023,523.78,63118786
22137086,Basic,1/31/2023,410.35,42903192
22268314,Basic,1/31/2023,153.05,69059469
22292682,Basic,1/31/2023,874.32,8151759
22298371,Platinum,1/31/2023,891.16,2630349
22341160,Gold,1/31/2023,61.07,74143237
22374612,Gold,1/31/2023,554.31,27330896
22391508,Basic,1/31/2023,91.32,27008393
22393008,Gold,1/31/2023,753.5,94839122
22403299,Gold,1/31/2023,702.95,33540054
22404690,Gold,1/31/2023,726.06,8051737
22412680,Basic,1/31/2023,637.99,88611314
22483300,Gold,1/31/2023,763.23,82812173
22683382,Gold,1/31/2023,987.13,96743711
22696687,Gold,1/31/2023,133.52,1385498
22730750,Platinum,1/31/2023,473.56,88005718
22799719,Basic,1/31/2023,481.26,8491145
22830156,Basic,1/31/2023,596.06,18931952
22833010,Platinum,1/31/2023,645.79,85741946
22846221,Gold,1/31/2023,868.2,95231500
22884864,Gold,1/31/2023,521.87,14643087
22888798,Basic,1/31/2023,326.4,19513080
22951653,Basic,1/31/2023,414.64,50871637
23030554,Basic,1/31/2023,196.97,2515444
23032852,Platinum,1/31/2023,475.21,92340011
23045208,Gold,1/31/2023,359.49,99152626
23093541,Basic,1/31/2023,326.05,3560436
23124345,Basic,1/31/2023,595.61,86520289
23141588,Joint,1/31/2023,281.28,96910248
23141588,Joint,1/31/2023,281.28,73445371
23231848,Gold,1/31/2023,27.12,23989802
23269253,Gold,1/31/2023,324.56,20504582
23271383,Gold,1/31/2023,633.3,68746726
23289647,Platinum,1/31/2023,522.8,48022596
23295106,Basic,1/31/2023,340.16,87121782
23310842,Gold,1/31/2023,78.85,25102921
23321929,Gold,1/31/2023,408.3,34352740
23325248,Basic,1/31/2023,49.31,6241370
23333877,Gold,1/31/2023,648.46,4347281
23369902,Gold,1/31/2023,716.79,24515406
23415061,Basic,1/31/2023,71.2,95331876
23445508,Platinum,1/31/2023,373.43,67877318
23479459,Joint,1/31/2023,176.23,6765904
23479459,Joint,1/31/2023,176.23,47836049
23490922,Basic,1/31/2023,934.35,20395173
23498368,Gold,1/31/2023,474.93,74286248
23501735,Platinum,1/31/2023,562.17,61727994
23580422,Gold,1/31/2023,716.05,44846954
23698615,Basic,1/31/2023,316.68,4693665
23736501,Gold,1/31/2023,831.27,65195252
23775829,Gold,1/31/2023,771.57,48217694
23815822,Gold,1/31/2023,835,88395737
23865100,Basic,1/31/2023,201.44,58731613
23920423,Gold,1/31/2023,221.15,76991629
23931414,Basic,1/31/2023,126.7,39541943
23932793,Basic,1/31/2023,962.8,22861308
23935849,Basic,1/31/2023,888.11,40699895
23942646,Gold,1/31/2023,517.93,61681039
23959928,Gold,1/31/2023,878.83,93190050
23962863,Basic,1/31/2023,307.07,19070345
23971753,Basic,1/31/2023,170.77,51215896
24010877,Gold,1/31/2023,652.95,63387212
24051672,Platinum,1/31/2023,429.37,36021977
24076677,Platinum,1/31/2023,494.74,68563653
24085667,Basic,1/31/2023,249.1,18264603
24113784,Platinum,1/31/2023,47.67,59074898
24122572,Gold,1/31/2023,924.02,30721772
24123707,Joint,1/31/2023,327.69,6348794
24123707,Joint,1/31/2023,327.69,56283265
24125563,Platinum,1/31/2023,908.28,37235159
24149353,Joint,1/31/2023,487.27,42772846
24149353,Joint,1/31/2023,487.27,20894297
24150990,Basic,1/31/2023,365.31,66498089
24178466,Basic,1/31/2023,330.91,89689305
24184530,Joint,1/31/2023,37.87,25651109
24184530,Joint,1/31/2023,37.87,55007557
24198488,Basic,1/31/2023,578.35,70317241
24250015,Basic,1/31/2023,592.59,36880090
24285988,Gold,1/31/2023,783.9,21339791
24298516,Gold,1/31/2023,768.69,22699283
24299977,Gold,1/31/2023,199.33,26642862
24308337,Basic,1/31/2023,764.57,7073038
24370240,Basic,1/31/2023,608.64,88730502
24382889,Platinum,1/31/2023,14.23,36229467
24406166,Basic,1/31/2023,746.97,58655795
24434457,Basic,1/31/2023,385.3,7185765
24462859,Basic,1/31/2023,646,50137483
24510213,Gold,1/31/2023,142.59,59931737
24513968,Basic,1/31/2023,306.35,50661807
24516638,Gold,1/31/2023,426.16,9648107
24519138,Basic,1/31/2023,58.15,26377972
24529850,Basic,1/31/2023,800.79,74244392
24531428,Basic,1/31/2023,565.21,6165151
24533829,Gold,1/31/2023,190.8,33181065
24533935,Gold,1/31/2023,808.99,50571699
24539679,Gold,1/31/2023,768.68,5913997
24577383,Platinum,1/31/2023,911.96,66269405
24638469,Basic,1/31/2023,968.27,78477469
24669065,Platinum,1/31/2023,574.3,71717133
24715803,Basic,1/31/2023,684.75,87256898
24725325,Gold,1/31/2023,567.17,44118549
24796881,Gold,1/31/2023,943.93,26591902
24826358,Gold,1/31/2023,923.46,12728922
24849103,Platinum,1/31/2023,381.36,81717821
24859951,Gold,1/31/2023,950.69,94066958
24860683,Basic,1/31/2023,982.97,10655317
24976861,Gold,1/31/2023,982.53,75228287
24999129,Gold,1/31/2023,750.61,39618806
25004339,Gold,1/31/2023,120.44,64826586
25006771,Basic,1/31/2023,600.16,87784323
25033680,Gold,1/31/2023,639.47,99708193
25099734,Gold,1/31/2023,872.31,74513603
25110012,Gold,1/31/2023,300.03,31879074
25133996,Basic,1/31/2023,419.22,35047322
25146667,Basic,1/31/2023,534.11,9396642
25240031,Gold,1/31/2023,520.29,90993557
25269707,Basic,1/31/2023,770.38,19069826
25281513,Basic,1/31/2023,618.78,84843220
25310962,Basic,1/31/2023,376.9,77723424
25318205,Platinum,1/31/2023,582.9,32835691
25406407,Platinum,1/31/2023,394.05,11804634
25412464,Gold,1/31/2023,203.46,49943184
25439304,Basic,1/31/2023,890.08,66119520
25504032,Gold,1/31/2023,838.81,80963508
25510430,Gold,1/31/2023,110.66,76181090
25522226,Gold,1/31/2023,428.21,32972079
25584693,Basic,1/31/2023,793.42,42686927
25596483,Basic,1/31/2023,595.87,30568898
25628234,Basic,1/31/2023,808.37,97610258
25636885,Gold,1/31/2023,755.58,6164823
25677428,Basic,1/31/2023,307.44,3527714
25678043,Basic,1/31/2023,49.06,77622814
25698177,Gold,1/31/2023,923.38,68386296
25710768,Basic,1/31/2023,968.16,35906693
25737886,Platinum,1/31/2023,410.76,17373841
25746852,Gold,1/31/2023,320.7,95536612
25768265,Gold,1/31/2023,702.22,9494073
25779398,Gold,1/31/2023,967.13,42849437
25787771,Basic,1/31/2023,494.02,12715326
25807378,Basic,1/31/2023,25.32,74932511
25893329,Basic,1/31/2023,211.58,78020543
25931435,Gold,1/31/2023,127.08,31741543
25939481,Gold,1/31/2023,502.59,93229951
25941557,Basic,1/31/2023,656.34,78670068
26008806,Basic,1/31/2023,553.23,62888841
26023976,Platinum,1/31/2023,681.17,22303162
26070761,Gold,1/31/2023,641.67,28260592
26087369,Basic,1/31/2023,653.2,93768756
26101648,Gold,1/31/2023,9.84,54464832
26102798,Gold,1/31/2023,104.08,67465216
26109213,Gold,1/31/2023,698.97,66590459
26115121,Platinum,1/31/2023,466.67,16775019
26118463,Gold,1/31/2023,981,14423624
26248782,Gold,1/31/2023,70.58,64041693
26375186,Gold,1/31/2023,804.02,35650470
26432558,Gold,1/31/2023,465.32,26897941
26506201,Basic,1/31/2023,592.7,85422591
26522255,Gold,1/31/2023,283.67,49366602
26528251,Gold,1/31/2023,539.97,73188437
26632358,Basic,1/31/2023,384.64,14552507
26643616,Gold,1/31/2023,260.1,71746287
26669001,Basic,1/31/2023,70.04,72989737
26675311,Gold,1/31/2023,989.13,11427653
26751921,Gold,1/31/2023,800.07,70950731
26791907,Joint,1/31/2023,266.27,35453637
26791907,Joint,1/31/2023,266.27,37817374
26793058,Basic,1/31/2023,384.98,47508085
26863880,Basic,1/31/2023,818.47,78887413
26874415,Basic,1/31/2023,19.62,76949132
26884718,Basic,1/31/2023,573.65,77805873
26888158,Basic,1/31/2023,473.02,76785724
26893181,Basic,1/31/2023,957.43,28862966
26906533,Gold,1/31/2023,312.58,12181942
26907311,Basic,1/31/2023,842.69,33680005
26953669,Gold,1/31/2023,813.21,87606013
26958171,Basic,1/31/2023,837.04,90124359
26964507,Basic,1/31/2023,358.72,44041176
26979446,Gold,1/31/2023,149.65,590066
26985042,Gold,1/31/2023,248.7,78775244
27010847,Basic,1/31/2023,272.04,27339798
27108454,Gold,1/31/2023,423.96,28232052
27117946,Basic,1/31/2023,342.03,92717957
27170424,Basic,1/31/2023,211.66,3278085
27193025,Gold,1/31/2023,187.57,64828818
27193470,Gold,1/31/2023,479.57,71392951
27203821,Platinum,1/31/2023,256.57,65097518
27264533,Gold,1/31/2023,254.28,92826153
27305999,Gold,1/31/2023,17.22,5786942
27334998,Basic,1/31/2023,817.28,87238338
27356852,Gold,1/31/2023,414.82,16330806
27357010,Gold,1/31/2023,579.29,34718208
27382109,Basic,1/31/2023,174.95,11253311
27388260,Basic,1/31/2023,39.64,94861323
27389680,Platinum,1/31/2023,815.68,39694339
27415805,Basic,1/31/2023,902.28,12646177
27430568,Platinum,1/31/2023,450.45,21558568
27580272,Gold,1/31/2023,352.81,69391811
27582893,Basic,1/31/2023,639.21,24227882
27585212,Gold,1/31/2023,150.57,44805516
27589482,Basic,1/31/2023,494.03,21209956
27596004,Gold,1/31/2023,505.73,89861979
27600956,Basic,1/31/2023,84.39,79820166
27625709,Basic,1/31/2023,616.45,71355651
27628187,Gold,1/31/2023,344.63,703142
27713909,Platinum,1/31/2023,199.77,82650182
27806002,Basic,1/31/2023,565.08,4598557
27821800,Gold,1/31/2023,322.23,97036310
27845045,Basic,1/31/2023,136.91,4631725
27870202,Gold,1/31/2023,286.17,75341876
27985160,Gold,1/31/2023,446.21,32990668
28053942,Gold,1/31/2023,70.94,76671068
28063272,Gold,1/31/2023,252.41,22848101
28142099,Gold,1/31/2023,420.86,84176902
28222331,Basic,1/31/2023,137.74,76220277
