,Account Holder ID,Name,Date of Birth,Contact Number,First Line of Address,Account Number,Account Type,Balance Date,Balance
59,69196652,Hagan Kachel,01/11/1994,7965281816,47020 Dawn Lane,12099406,Basic,2023-01-31,681.11
60,72036799,Valentine Gove,18/01/2001,7734476128,851 Maple Wood Crossing,12111805,Gold,2023-01-31,890.99
61,77761706,Fredric Melladew,05/10/1979,7136070814,26 Green Ridge Pass,12172627,Gold,2023-01-31,550.41
62,87924327,Vida Lackham,20/02/1982,7215979544,99944 Washington Terrace,12185627,Gold,2023-01-31,873.23
63,40448365,Egor Baddow,02/05/1981,7409474243,62536 Pawling Drive,12198380,Gold,2023-01-31,445.46
64,12778869,Talbert Quesne,15/11/2001,7618510560,7069 Forest Center,12199229,Gold,2023-01-31,804.0
65,31154466,Nona MacCaughen,05/02/1990,7102994278,65215 Randy Point,12233762,Gold,2023-01-31,386.05
66,18123960,Blinni Saunder,19/11/1938,7434680087,49679 Grover Pass,12240007,Basic,2023-01-31,894.48
67,89677048,Bradley Jaggar,11/03/1981,7599758046,76210 Montana Trail,12241820,Gold,2023-01-31,207.29
68,29311835,Desmond Loftus,15/02/1995,7606240106,3 Sugar Court,12388837,Basic,2023-01-31,463.31
69,55080160,Rozele Chippindale,30/11/1994,7849008825,128 Sommers Trail,12420291,Gold,2023-01-31,578.47
70,80247207,Sergio Casiroli,16/11/1984,7913235559,8 Vermont Alley,12440230,Basic,2023-01-31,842.67
71,24389535,Montague Schruyer,01/07/1978,7155162400,426 Mayfield Pass,12493067,Gold,2023-01-31,404.61
72,46926433,Jojo Churchard,27/07/1981,7224219084,56 Mallory Terrace,12494185,Basic,2023-01-31,762.16
73,52688385,Sonja Langdridge,31/12/1969,7512379217,6 Village Green Avenue,12499656,Basic,2023-01-31,96.27
74,9588159,Grant Winslet,08/10/1960,7245888715,502 Mallory Hill,12560453,Gold,2023-01-31,85.03
75,73945544,Georgie Karpe,06/01/2001,7209561235,80 Lunder Pass,12583269,Gold,2023-01-31,910.46
76,40074244,Sari Fairhead,22/09/1945,7780741806,776 Del Mar Way,12666385,Basic,2023-01-31,554.24
77,77963684,Edithe Griggs,18/10/1993,7400436640,19659 Tony Lane,12680102,Basic,2023-01-31,674.64
78,14414569,Sari Bremner,14/02/1982,7887724877,31 Tennessee Lane,12859818,Gold,2023-01-31,151.06
79,81057095,Rhona Windrass,02/09/1988,7277131868,9 Oneill Parkway,12899540,Basic,2023-01-31,957.2
80,70313182,Liam Ricardo,24/10/1950,7929396949,97761 Lawn Court,12964138,Gold,2023-01-31,557.04
81,72127033,Gae MacQuarrie,30/06/1973,7708473020,81 Vernon Junction,12985543,Gold,2023-01-31,402.94
82,10055517,Bastian Lunam,02/10/1995,7726925518,33 Loomis Road,13058003,Gold,2023-01-31,218.0
83,54930747,Fallon Neeve,15/11/1940,7137848888,8027 Cody Street,13076932,Gold,2023-01-31,419.47
84,60301493,Chic Rawes,24/03/2004,7260716338,2 Birchwood Junction,13167285,Basic,2023-01-31,301.93
85,45643293,Marmaduke Richold,01/05/1945,7265396977,80 American Ash Terrace,13176075,Basic,2023-01-31,67.3
86,91088955,Gusti Clemont,08/10/1984,7783880886,710 Lakewood Road,13182613,Basic,2023-01-31,384.42
87,37884856,Skippy Skuce,02/05/1938,7462912164,75 South Parkway,13197335,Basic,2023-01-31,625.71
88,80341564,Isador Saddleton,18/07/1978,7597311743,780 Northridge Street,13267945,Gold,2023-01-31,299.77
89,97228348,Belinda Ravilus,25/05/1974,7983045988,3 Golf Course Court,13274987,Gold,2023-01-31,902.06
90,252258,Carissa Mulliss,09/05/1933,7154915911,4601 Canary Terrace,13277127,Basic,2023-01-31,793.22
91,78180012,Rennie Gerleit,01/04/1955,7679209100,8856 Barnett Court,13322659,Basic,2023-01-31,690.27
92,33265379,Matilde Flooks,09/12/1999,7421774869,69 Randy Street,13388069,Gold,2023-01-31,13.45
93,18367895,Milton Anstis,14/11/1955,7565677657,833 Browning Place,13459523,Gold,2023-01-31,814.31
94,97816898,Liane Breawood,15/10/1931,7530202419,980 Bellgrove Road,13474543,Gold,2023-01-31,438.36
95,68639654,Crystal Jeacock,24/03/1956,7564586293,762 Mosinee Circle,13551717,Basic,2023-01-31,26.95
96,56706218,Shannen Rumgay,11/01/1987,7117231559,73626 Linden Park,13558846,Basic,2023-01-31,598.45
97,66232182,Bernadine Baughn,21/03/1966,7506789722,2805 Nancy Crossing,13563384,Basic,2023-01-31,952.65
98,40151059,Reta Freyne,24/09/1961,7270239474,3 Hudson Park,13584908,Gold,2023-01-31,162.0
99,91062539,Clarissa Lamden,26/11/1989,7359733257,932 Di Loreto Circle,13610259,Basic,2023-01-31,587.73
100,12983938,Robinet Francesc,14/05/1997,7732837857,39 Weeping Birch Junction,13687711,Basic,2023-01-31,757.76
101,33397715,Salaidh Aseef,21/12/1967,7251197011,7 Meadow Vale Avenue,13713704,Basic,2023-01-31,1.48
102,31320556,Myron Otto,21/12/1988,7594728529,7 Sage Junction,13788234,Gold,2023-01-31,302.78
103,65473538,Vincents Speare,25/07/1934,7910043558,82 Delaware Street,13965360,Basic,2023-01-31,299.46
104,12309406,Tan Dommerque,22/01/1966,7346143589,146 Marquette Way,13997603,Gold,2023-01-31,516.79
105,15735076,Jacquenetta Harley,18/11/1935,7804348999,14550 Coleman Place,14000447,Basic,2023-01-31,443.94
106,11669981,Clement Gant,09/10/1958,7595178757,13 Barnett Lane,14014401,Basic,2023-01-31,554.46
107,2045273,Marietta Gonthard,14/06/1966,7601852819,3788 Paget Point,14039438,Gold,2023-01-31,94.52
108,160391,Humphrey Leyborne,21/06/1947,7139664365,8480 Haas Street,14045416,Basic,2023-01-31,265.63
109,80756775,Henderson McKinie,03/07/1962,7152805597,3377 Monument Way,14052052,Gold,2023-01-31,915.74
110,18549902,Townsend Mariolle,24/03/1990,7782683450,60 Spenser Crossing,14086187,Basic,2023-01-31,340.59
111,96276634,Sigfrid Mawtus,04/11/1983,7777318561,3 High Crossing Trail,14136082,Gold,2023-01-31,219.84
112,14623387,Flin Bordessa,09/02/1940,7351523897,682 Del Sol Trail,14144267,Gold,2023-01-31,97.69
113,94107890,Paxton Lathy,24/05/1947,7843925432,81357 West Trail,14253152,Basic,2023-01-31,43.85
114,85170206,Em Willicott,25/11/1943,7460992733,7776 Parkside Way,14337606,Basic,2023-01-31,561.8
115,21944580,Shana Twentyman,06/11/1959,7257069800,859 Springs Park,14355869,Gold,2023-01-31,329.16
116,52674558,Karine Ladell,22/06/1956,7146636815,2530 Buell Center,14421453,Basic,2023-01-31,813.76
117,4739932,Kermie Booth-Jarvis,04/02/1968,7338925044,7 Carey Circle,14592080,Gold,2023-01-31,245.22
118,15958621,Nels Moxom,14/06/2003,7507771948,2678 Independence Road,14594928,Gold,2023-01-31,470.64
119,94917146,Joya Mollindinia,14/10/1993,7283116749,28 Springview Circle,14600288,Basic,2023-01-31,622.77
120,51124513,Leila Peter,15/11/1979,7911895533,28102 Nobel Crossing,14648004,Gold,2023-01-31,236.67
121,69185805,Johanna Fidelli,30/12/1980,7327407311,8374 Mosinee Center,14685853,Basic,2023-01-31,45.2
122,61710949,Vanna Younghusband,09/02/1978,7993188744,50 Nobel Court,14723713,Basic,2023-01-31,378.07
123,42280229,Laurette Conry,23/09/1930,7750419985,43 Northfield Point,14749214,Basic,2023-01-31,194.54
124,40179334,Tonie Bartozzi,18/01/1931,7651828850,2 Mallory Park,14780986,Basic,2023-01-31,180.2
125,28750732,Suzy Fettiplace,27/05/1967,7461224739,57 Sachs Crossing,14866733,Basic,2023-01-31,249.35
126,85750305,Maximo Keems,29/07/1957,7572723913,22 Myrtle Way,14897645,Gold,2023-01-31,89.0
127,22281900,Marmaduke MacWilliam,05/09/1931,7193824421,24806 Forest Alley,15033812,Basic,2023-01-31,504.58
128,33356634,Ruprecht Jessel,21/05/1944,7143621889,6761 Toban Circle,15044055,Gold,2023-01-31,204.3
129,48910576,Emmott Sharvill,16/12/1967,7762043089,2 Eagan Circle,15052808,Gold,2023-01-31,786.05
130,36523916,Iona Rousel,05/05/1991,7760593639,94478 Burrows Lane,15055504,Gold,2023-01-31,339.94
131,30564016,Alanna Beining,15/12/1974,7420094986,56 Merrick Park,15077298,Gold,2023-01-31,507.62
132,146167,Nerte Sinkin,27/03/1997,7151685086,910 Parkside Road,15100785,Basic,2023-01-31,934.1
133,96754404,Barney Lease,31/12/1968,7571108552,58066 Debs Crossing,15163829,Gold,2023-01-31,458.6
134,40177366,Afton Caltera,09/08/1936,7651689263,7 Pawling Point,15258886,Basic,2023-01-31,689.34
135,19348996,Kerr Antoniades,14/12/1963,7876526287,376 Sachs Hill,15265650,Basic,2023-01-31,147.72
136,69047983,Ollie Splevings,09/11/1951,7774609433,448 Northland Way,15265700,Basic,2023-01-31,829.86
137,34228992,Cullin Arendt,09/12/1930,7341680992,7 Kropf Crossing,15290238,Basic,2023-01-31,93.23
138,83902373,Sharon Panchen,04/03/2002,7302454787,976 Ilene Crossing,15324178,Basic,2023-01-31,833.62
139,78909455,Pearl Tradewell,20/05/2004,7238864294,7 Mariners Cove Way,15428008,Gold,2023-01-31,131.02
140,44547383,Willem Norcock,31/01/1969,7709762717,48881 Gateway Park,15468532,Basic,2023-01-31,819.87
141,61734191,Christy Deboy,15/02/2001,7769807222,3 Hooker Hill,15529292,Gold,2023-01-31,382.95
142,830904,Corri Losel,01/01/1931,7553491029,537 Melvin Alley,15563919,Basic,2023-01-31,492.34
143,33989853,Felice Farrear,10/12/1983,7252637958,77606 7th Street,15665459,Gold,2023-01-31,68.94
144,37827314,Maurizia Kuhnhardt,03/07/1942,7847422309,3574 Northwestern Circle,15668160,Gold,2023-01-31,810.02
145,25018182,Wyatan Stenbridge,27/01/1934,7112036766,9 Waxwing Lane,15732629,Basic,2023-01-31,975.81
146,50095911,Nichole D'Emanuele,05/09/1937,7719716648,39 Knutson Trail,15779976,Gold,2023-01-31,129.01
147,66943569,Belinda Liddicoat,17/08/2002,7749862078,7502 Nevada Plaza,15793232,Gold,2023-01-31,45.88
148,35097549,Fidelity Jacobsen,06/11/1968,7417479183,9 Welch Park,15796180,Basic,2023-01-31,755.58
149,4963150,Corbin Bunyard,04/12/1949,7539336438,30805 Hovde Park,15801209,Gold,2023-01-31,8.84
150,9043136,Dorisa Weatherhead,03/06/1960,7921008782,61429 Johnson Plaza,15805500,Basic,2023-01-31,230.39
151,66973127,Fawnia Bouldon,15/08/1945,7751764348,156 Merry Point,15810455,Basic,2023-01-31,81.69
152,97144212,Marchelle Espinho,27/11/1973,7727130715,30 Muir Trail,15841031,Basic,2023-01-31,579.98
153,98012482,Flory Haxell,07/08/1997,7101372359,504 Bultman Parkway,15899774,Gold,2023-01-31,773.38
154,48411853,Kathy Naden,01/07/1951,7409895649,29316 Monterey Drive,15914466,Gold,2023-01-31,436.62
155,35642702,Benedick Fiddian,16/02/1996,7448624222,4 Kingsford Trail,15918861,Basic,2023-01-31,781.97
156,45565396,Holly Bridgman,27/11/1953,7644012594,106 Menomonie Court,15944303,Basic,2023-01-31,977.44
157,39306718,Matthaeus Drewett,05/10/1943,7419988550,612 Havey Parkway,15960008,Basic,2023-01-31,455.42
158,96635391,Ernaline Thomelin,21/12/2001,7766356939,78361 Golden Leaf Center,15980710,Gold,2023-01-31,955.7
159,90295281,Feodor De Freitas,17/10/1947,7985477331,4 Shelley Pass,16013218,Gold,2023-01-31,322.63
160,93153307,Kaja Betteridge,23/03/1964,7522261536,96 Village Green Lane,16026987,Gold,2023-01-31,772.57
161,8351005,Sarajane Warrier,27/12/1938,7578114824,5661 Kensington Avenue,16030234,Gold,2023-01-31,174.55
162,448094,Annalee Kuhnert,24/02/2004,7950899978,4509 Calypso Circle,16063411,Basic,2023-01-31,896.73
163,308061,Georgette Tamplin,30/10/1962,7734687967,712 Gulseth Way,16067516,Gold,2023-01-31,494.33
164,10175224,Leonid McCabe,07/01/1960,7374690341,9237 Artisan Alley,16087504,Gold,2023-01-31,56.65
165,17632827,Rhett Bode,16/11/1993,7853455597,334 Anthes Street,16093178,Basic,2023-01-31,96.62
166,42146108,Durand Troni,26/12/1990,7857157994,53 Victoria Avenue,16118153,Gold,2023-01-31,829.58
167,91922723,Henri Crepin,07/04/1959,7796022140,9 Spaight Place,16157014,Gold,2023-01-31,858.73
168,38727307,Alexia Sparham,28/10/1997,7443524804,51 Lyons Park,16181964,Basic,2023-01-31,979.44
169,92723255,Frasquito Pretswell,06/12/1977,7502944207,6 Aberg Place,16191280,Basic,2023-01-31,825.86
170,57436955,Paulo Esel,25/09/1975,7103971357,31 Swallow Court,16223952,Basic,2023-01-31,222.18
171,15653352,Delphinia Boggish,13/11/1956,7603076957,89 Stone Corner Hill,16270746,Basic,2023-01-31,904.31
172,52493643,Juliana Carter,01/09/2003,7444592794,4 Moulton Point,16306280,Gold,2023-01-31,921.83
173,89834399,Jinny Baggett,12/08/1963,7468410559,676 Mandrake Alley,16312979,Basic,2023-01-31,833.92
174,79475074,Madelon Jerrolt,17/05/1964,7786860214,39 Lindbergh Terrace,16334793,Gold,2023-01-31,297.75
175,15665885,Rochella Tupman,30/03/1989,7848398059,16 Gateway Crossing,16453812,Gold,2023-01-31,356.9
176,50796183,Yevette Sawart,27/10/1933,7332060215,1754 Forster Lane,16506904,Gold,2023-01-31,602.17
177,49890659,Kimberlyn Kynsey,26/04/1953,7954424337,4758 Gale Circle,16584745,Gold,2023-01-31,129.46
178,71465677,Vicki Sallenger,04/12/2004,7333452027,9 Westridge Road,16628269,Gold,2023-01-31,27.11
179,28090300,Byrle Bianco,12/07/1997,7766660402,5 Acker Street,16676577,Gold,2023-01-31,407.24
180,824904,Lorrie Quickfall,28/02/1936,7969292834,39990 David Road,16927652,Gold,2023-01-31,637.58
181,96354709,Sharity Keppe,02/07/2004,7276017040,556 Anthes Place,16977372,Gold,2023-01-31,675.5
182,4931864,Ric Longland,20/05/1971,7750343682,61 Elgar Terrace,16984772,Basic,2023-01-31,823.43
183,34625744,Trumaine Springford,28/06/1940,7504781302,64 Armistice Plaza,17024652,Basic,2023-01-31,918.84
184,38814096,Agna Blenkiron,04/05/1980,7407748492,57 Harbort Trail,17039422,Basic,2023-01-31,941.44
185,37352383,Puff Ovenell,16/04/1932,7985443653,8 Muir Street,17051223,Basic,2023-01-31,558.16
186,90628588,Otho Kelinge,03/06/1958,7524597284,22 Kennedy Trail,17085651,Gold,2023-01-31,945.51
187,18184412,Booth Vertigan,04/07/1934,7359490161,29 Valley Edge Junction,17138963,Basic,2023-01-31,131.95
188,9882076,Augustina MacGibbon,04/05/1930,7322635426,7583 Lien Junction,17144855,Gold,2023-01-31,355.14
189,98994536,Doy Dowling,19/09/1937,7705792777,2 Carberry Lane,17191420,Gold,2023-01-31,717.28
190,62320378,Tybie Scanderet,07/05/2001,7358589671,2 Sunbrook Court,17264146,Basic,2023-01-31,345.33
191,65542122,Merola Levis,26/03/1939,7825462787,7753 Utah Road,17284705,Gold,2023-01-31,145.59
192,11893969,Cherey Edwardes,03/09/1985,7279335181,8 Old Shore Hill,17301178,Gold,2023-01-31,311.47
193,72023638,Bale Keyworth,03/08/1973,7863929707,9 Beilfuss Terrace,17469776,Gold,2023-01-31,443.18
194,62798106,Dud Thraves,02/03/1998,7204180825,24 Ridgeway Court,17483941,Basic,2023-01-31,483.81
195,65079768,Vergil Brownsea,02/10/1970,7241125472,6 Springview Court,17533114,Gold,2023-01-31,274.53
196,73895660,Eward Giroldi,23/07/2002,7755505581,539 Ridgeview Circle,17534364,Basic,2023-01-31,758.41
197,71348398,Ramsay Bonson,01/02/1971,7252187764,422 Continental Parkway,17543122,Basic,2023-01-31,681.64
198,37464885,Vita Livingstone,03/04/1970,7787655808,763 Dwight Pass,17644586,Gold,2023-01-31,222.45
199,83543598,Petey Capnor,20/08/1984,7864564584,94 Crest Line Trail,17692892,Basic,2023-01-31,457.79
200,60208017,Cort Oxberry,01/08/1959,7309836987,3260 Fairview Point,17722231,Gold,2023-01-31,944.22
201,48939723,Klemens Gagan,25/04/1957,7404841393,4 Green Way,17749893,Basic,2023-01-31,889.45
202,22175311,Kimmi Jobe,21/08/1933,7956427566,9 Merrick Hill,17810734,Gold,2023-01-31,348.22
203,35117700,Rog Huckfield,05/08/1938,7568314362,660 Kings Terrace,17840180,Gold,2023-01-31,557.56
204,76648517,Jsandye Pladen,27/11/1999,7138244877,3 Vera Pass,17881363,Basic,2023-01-31,415.27
205,62305196,Inger Treadaway,20/03/1974,7796675277,99054 Bowman Center,17925406,Gold,2023-01-31,393.37
206,34381258,Ethelbert Pilcher,31/07/1994,7818518633,49 Lawn Court,17933377,Basic,2023-01-31,189.05
207,83273263,Walther Pippin,11/05/1939,7238519666,4 Fallview Junction,17938672,Gold,2023-01-31,904.99
208,82436181,Margarete Bickerdyke,17/05/1998,7711837690,7768 Crescent Oaks Avenue,17939571,Basic,2023-01-31,396.93
209,53508406,Bernita Mcmanaman,30/08/1961,7716866604,32 Amoth Plaza,17983851,Basic,2023-01-31,849.24
210,64543512,Wilie Cunio,22/10/1977,7969629071,8 Butterfield Circle,18046225,Gold,2023-01-31,205.83
211,78690639,Paula Sangra,27/08/1978,7385974414,809 Cardinal Avenue,18052851,Basic,2023-01-31,672.09
212,83646896,Maisey Alekseev,08/01/1995,7391402644,82 Doe Crossing Park,18095448,Gold,2023-01-31,73.28
213,83289626,Agace Sporle,28/02/1999,7182359874,96 Emmet Pass,18185362,Basic,2023-01-31,609.36
214,74402992,Arleta Nairn,25/04/1965,7405580773,61 Northridge Junction,18346988,Basic,2023-01-31,450.36
215,41598271,Colene Rastrick,24/03/1946,7955897701,8 Macpherson Terrace,18348734,Basic,2023-01-31,579.93
216,14924822,Amalle Townsend,06/01/1959,7564656009,3526 Sutherland Alley,18447548,Basic,2023-01-31,574.24
217,14482369,Collette Bendare,10/01/1998,7804810523,9186 Warbler Center,18451683,Basic,2023-01-31,501.75
218,26736102,Ricky Switzer,04/09/1947,7614927632,81765 Del Mar Court,18517970,Gold,2023-01-31,709.95
219,86420305,Nelie Gommey,05/07/1962,7132966504,659 Golden Leaf Lane,18563743,Gold,2023-01-31,649.46
220,26984318,Dena Sheppard,07/06/1999,7895675234,46 Elgar Point,18582171,Basic,2023-01-31,732.99
221,39868326,Melodee Jumeau,21/02/1930,7429499540,538 Roth Hill,18584434,Basic,2023-01-31,877.81
222,7496322,Gill Scotfurth,18/01/1945,7432836338,4 Maple Plaza,18645136,Basic,2023-01-31,554.87
223,66125742,Retha MacAlester,01/05/1993,7875017761,2586 Rieder Alley,18718399,Basic,2023-01-31,716.22
224,84735968,Monty Coles,29/04/1945,7576998396,5 Porter Lane,18850031,Basic,2023-01-31,191.3
225,72868890,Erastus Gaudon,26/10/1953,7284334375,69 Dorton Junction,18859451,Gold,2023-01-31,441.04
226,54034586,Stepha Vaughan-Hughes,08/09/1961,7679566457,9 Knutson Road,18899132,Basic,2023-01-31,244.46
227,87694387,Hubey Ramm,14/03/1989,7516600842,2 Cordelia Street,18928638,Gold,2023-01-31,150.95
228,33679838,Steve Pierpoint,14/05/2000,7216269714,838 5th Hill,19001745,Gold,2023-01-31,507.55
229,39028764,Tom Twell,11/08/1940,7512644141,995 Debs Lane,19094015,Basic,2023-01-31,548.65
230,63913900,Culley Wackley,25/10/1986,7241522692,4 Lerdahl Trail,19154395,Gold,2023-01-31,274.06
231,55167474,Carmelle Keddey,02/09/1988,7660196740,4 Heffernan Crossing,19160862,Basic,2023-01-31,211.53
232,16529382,Allen Malamore,12/01/1945,7641649612,62727 Ruskin Park,19201987,Gold,2023-01-31,624.55
233,77843924,Clea Lortz,27/07/1936,7528244087,7 Vahlen Place,19216744,Basic,2023-01-31,123.53
234,94444276,Reiko Hustings,16/05/1964,7296925113,7 Pierstorff Alley,19220216,Basic,2023-01-31,628.89
235,13839239,Ozzie Cubbini,02/04/1974,7350015559,6922 Hudson Street,19283264,Gold,2023-01-31,301.31
236,49848076,Maryann Selwood,09/08/1999,7353298805,64 Ludington Park,19315124,Basic,2023-01-31,447.16
237,66592876,Aurore Hainge,05/09/1943,7786644882,6 Shelley Trail,19317267,Basic,2023-01-31,51.87
238,14578397,Vanny Edmonds,19/07/1980,7217193493,7639 Myrtle Place,19334563,Basic,2023-01-31,525.45
239,13985922,Cele Gratrex,04/02/1949,7100066416,83 Surrey Place,19387921,Gold,2023-01-31,927.28
240,36401281,Matty Emslie,14/08/1991,7786288004,9 Gerald Point,19429964,Gold,2023-01-31,694.43
241,29359859,Mickie Liddle,06/08/1951,7146850473,60 Blue Bill Park Parkway,19524427,Gold,2023-01-31,579.16
242,26424566,Lock Kittel,31/10/1981,7244171423,4245 Little Fleur Alley,19530097,Gold,2023-01-31,960.21
243,5589996,Celeste Jansik,18/10/1960,7387557557,10 Shopko Way,19574610,Gold,2023-01-31,104.29
244,88425097,Keri Senter,17/01/1994,7527276053,48 Reinke Circle,19647966,Gold,2023-01-31,849.89
